Entity,ISO3,Year,Age,Population,Start Age
Hungary,HUN,1998,Age: 25-64,5385803,25
Hungary,HUN,1998,Age: 5-14,1247825,5
Hungary,HUN,1998,Age: 65+,1501489,65
Hungary,HUN,1999,Age: 0-4,513421,0
Hungary,HUN,1999,Age: 15-24,1549974,15
Hungary,HUN,1999,Age: 25-64,5408781,25
Hungary,HUN,1999,Age: 5-14,1236539,5
Hungary,HUN,1999,Age: 65+,1510799,65
Hungary,HUN,2000,Age: 0-4,496591,0
Hungary,HUN,2000,Age: 15-24,1504244,15
Hungary,HUN,2000,Age: 25-64,5451151,25
Hungary,HUN,2000,Age: 5-14,1219397,5
Hungary,HUN,2000,Age: 65+,1518908,65
Hungary,HUN,2001,Age: 0-4,484401,0
Hungary,HUN,2001,Age: 15-24,1459314,15
Hungary,HUN,2001,Age: 25-64,5500373,25
Hungary,HUN,2001,Age: 5-14,1194723,5
Hungary,HUN,2001,Age: 65+,1527554,65
Hungary,HUN,2002,Age: 0-4,478434,0
Hungary,HUN,2002,Age: 15-24,1414720,15
Hungary,HUN,2002,Age: 25-64,5541417,25
Hungary,HUN,2002,Age: 5-14,1168468,5
Hungary,HUN,2002,Age: 65+,1535080,65
Hungary,HUN,2003,Age: 0-4,477013,0
Hungary,HUN,2003,Age: 15-24,1373774,15
Hungary,HUN,2003,Age: 25-64,5572725,25
Hungary,HUN,2003,Age: 5-14,1142890,5
Hungary,HUN,2003,Age: 65+,1542206,65
Hungary,HUN,2004,Age: 0-4,477096,0
Hungary,HUN,2004,Age: 15-24,1338526,15
Hungary,HUN,2004,Age: 25-64,5603387,25
Hungary,HUN,2004,Age: 5-14,1115811,5
Hungary,HUN,2004,Age: 65+,1550598,65
Hungary,HUN,2005,Age: 0-4,478112,0
Hungary,HUN,2005,Age: 15-24,1312342,15
Hungary,HUN,2005,Age: 25-64,5624022,25
Hungary,HUN,2005,Age: 5-14,1088459,5
Hungary,HUN,2005,Age: 65+,1562385,65
Hungary,HUN,2006,Age: 0-4,480269,0
Hungary,HUN,2006,Age: 15-24,1294315,15
Hungary,HUN,2006,Age: 25-64,5637615,25
Hungary,HUN,2006,Age: 5-14,1061278,5
Hungary,HUN,2006,Age: 65+,1576052,65
Hungary,HUN,2007,Age: 0-4,482851,0
Hungary,HUN,2007,Age: 15-24,1279629,15
Hungary,HUN,2007,Age: 25-64,5642439,25
Hungary,HUN,2007,Age: 5-14,1036375,5
Hungary,HUN,2007,Age: 65+,1592333,65
Hungary,HUN,2008,Age: 0-4,485414,0
Hungary,HUN,2008,Age: 15-24,1266587,15
Hungary,HUN,2008,Age: 25-64,5638836,25
Hungary,HUN,2008,Age: 5-14,1015289,5
Hungary,HUN,2008,Age: 65+,1610032,65
Hungary,HUN,2009,Age: 0-4,488417,0
Hungary,HUN,2009,Age: 15-24,1256651,15
Hungary,HUN,2009,Age: 25-64,5629412,25
Hungary,HUN,2009,Age: 5-14,996317,5
Hungary,HUN,2009,Age: 65+,1630035,65
Hungary,HUN,2010,Age: 0-4,486025,0
Hungary,HUN,2010,Age: 15-24,1242547,15
Hungary,HUN,2010,Age: 25-64,5623163,25
Hungary,HUN,2010,Age: 5-14,981004,5
Hungary,HUN,2010,Age: 65+,1645784,65
Hungary,HUN,2011,Age: 0-4,476792,0
Hungary,HUN,2011,Age: 15-24,1222875,15
Hungary,HUN,2011,Age: 25-64,5613700,25
Hungary,HUN,2011,Age: 5-14,971954,5
Hungary,HUN,2011,Age: 65+,1660694,65
Hungary,HUN,2012,Age: 0-4,467184,0
Hungary,HUN,2012,Age: 15-24,1205234,15
Hungary,HUN,2012,Age: 25-64,5590771,25
Hungary,HUN,2012,Age: 5-14,968393,5
Hungary,HUN,2012,Age: 65+,1684334,65
Hungary,HUN,2013,Age: 0-4,459248,0
Hungary,HUN,2013,Age: 15-24,1184583,15
Hungary,HUN,2013,Age: 25-64,5563433,25
Hungary,HUN,2013,Age: 5-14,969093,5
Hungary,HUN,2013,Age: 65+,1712240,65
Hungary,HUN,2014,Age: 0-4,453685,0
Hungary,HUN,2014,Age: 15-24,1159935,15
Hungary,HUN,2014,Age: 25-64,5532034,25
Hungary,HUN,2014,Age: 5-14,972814,5
Hungary,HUN,2014,Age: 65+,1743613,65
Hungary,HUN,2015,Age: 0-4,453515,0
Hungary,HUN,2015,Age: 15-24,1133614,15
Hungary,HUN,2015,Age: 25-64,5503209,25
Hungary,HUN,2015,Age: 5-14,972299,5
Hungary,HUN,2015,Age: 65+,1775857,65
Hungary,HUN,2016,Age: 0-4,458303,0
Hungary,HUN,2016,Age: 15-24,1104925,15
Hungary,HUN,2016,Age: 25-64,5473060,25
Hungary,HUN,2016,Age: 5-14,965351,5
Hungary,HUN,2016,Age: 65+,1808251,65
