year,month,p_mean
2014.0,7.0,57.520794
2014.0,8.0,59.062
2014.0,9.0,60.129002
2014.0,10.0,59.446175
2014.0,11.0,59.707596
2014.0,12.0,60.854969
2015.0,1.0,58.292068
2015.0,2.0,59.846516
2015.0,3.0,60.336025
2015.0,4.0,58.480988
2015.0,5.0,58.105137
2015.0,6.0,58.959419
2015.0,7.0,56.717018
2015.0,8.0,57.887501
2015.0,9.0,59.612125
2015.0,10.0,58.687634
2015.0,11.0,59.523697
2015.0,12.0,59.403351
2016.0,1.0,57.416985
2016.0,2.0,58.259228
2016.0,3.0,58.218536
2016.0,4.0,57.322075
2016.0,5.0,58.052746
2016.0,6.0,57.775517
2016.0,7.0,56.791252
2016.0,8.0,58.628681
2016.0,9.0,59.017296
2016.0,10.0,59.400043
2016.0,11.0,59.662579
2016.0,12.0,60.155918
2017.0,1.0,58.657528
2017.0,2.0,59.608669
2017.0,3.0,58.597137
2017.0,4.0,58.355087
2017.0,5.0,58.578468
2017.0,6.0,59.261543
2017.0,7.0,58.219109
2017.0,8.0,59.164146
2017.0,9.0,59.419037
2017.0,10.0,59.134274
2017.0,11.0,59.541351
2017.0,12.0,59.348846
2018.0,1.0,57.496124
2018.0,2.0,55.621681
2018.0,3.0,56.09145
2018.0,4.0,55.187119
2018.0,5.0,54.709789
2018.0,6.0,55.152313
2018.0,7.0,53.956867
2018.0,8.0,54.806622
2018.0,9.0,55.848759
2018.0,10.0,55.276524
2018.0,11.0,54.852749
2018.0,12.0,55.853958
2019.0,1.0,54.36729
2019.0,2.0,55.089504
2019.0,3.0,54.429451
2019.0,4.0,53.166508
2019.0,5.0,54.11227
2019.0,6.0,54.147236
2019.0,7.0,53.096691
2019.0,8.0,54.126183
2019.0,9.0,54.627354
2019.0,10.0,54.351311
2019.0,11.0,54.966938
2019.0,12.0,54.955811
2020.0,1.0,53.399502
2020.0,2.0,55.087742
2020.0,3.0,57.355175
2020.0,4.0,55.442631
2020.0,5.0,49.960323
2020.0,6.0,56.41061
2020.0,7.0,51.786655
2020.0,8.0,48.972511
2020.0,9.0,49.471275
2020.0,10.0,51.150032
2020.0,11.0,60.499332
2020.0,12.0,61.236958
2021.0,1.0,57.022972
2021.0,2.0,55.229721
2021.0,3.0,54.238834
2021.0,4.0,53.212708
2021.0,5.0,56.979443
2021.0,6.0,55.398067
2021.0,7.0,51.570801
2021.0,8.0,52.571957
2021.0,9.0,54.710533
2021.0,10.0,54.436104
2021.0,11.0,54.860268
2021.0,12.0,55.293083
2022.0,1.0,54.7551
2022.0,2.0,55.840611
2022.0,3.0,54.826412
2022.0,4.0,54.486973
2022.0,5.0,55.407402
2022.0,6.0,55.996925
2022.0,7.0,55.188267
2022.0,8.0,56.414227
2022.0,9.0,58.183823
2022.0,10.0,58.007347
2022.0,11.0,59.257893
2022.0,12.0,59.651428
2023.0,1.0,58.297745
2023.0,2.0,64.758705
2023.0,3.0,64.0625
2023.0,4.0,63.329109
2023.0,5.0,63.973423
2023.0,6.0,64.788948
2023.0,7.0,63.466949
2023.0,8.0,63.831985
2023.0,9.0,65.676117
2023.0,10.0,65.449966
2023.0,11.0,65.511337
2023.0,12.0,67.016609
2024.0,1.0,64.484482
2024.0,2.0,66.284798
2024.0,3.0,65.534218
2024.0,4.0,64.457527
2024.0,5.0,65.457176
2024.0,6.0,65.384048
2024.0,7.0,64.314751
2024.0,8.0,65.123589
2024.0,9.0,66.252808
2024.0,10.0,65.904602
