Entity,Code,Year,Population share in urban areas,GDP per capita,900793-annotations,Population (historical),World regions according to OWID,time,time,time,time
Nepal,NPL,2022,24.01217,3013.5178,,29715434,Asia,2022,2023,2022,2022
Netherlands,NLD,2022,85.999176,49669.867,,17904422,Europe,2022,2023,2022,2022
New Zealand,NZL,2022,88.6741,38250.12,,5131733,Oceania,2022,2023,2022,2022
Nicaragua,NIC,2022,64.02124,5092.8413,,6730661,North America,2022,2023,2022,2022
Niger,NER,2022,22.011486,1007.72095,,25311977,Africa,2022,2023,2022,2022
Nigeria,NGA,2022,57.292385,5070.4927,,223150906,Africa,2022,2023,2022,2022
North Korea,PRK,2022,66.9537,1568.847,,26328842,Asia,2022,2023,2022,2022
North Macedonia,MKD,2022,66.49091,14050.995,,1840236,Europe,2022,2023,2022,2022
Norway,NOR,2022,83.7012,88366.22,,5456795,Europe,2022,2023,2022,2022
Oman,OMN,2022,77.37329,47988.65,,4730227,Asia,2022,2023,2022,2022
Pakistan,PAK,2022,43.117256,5531.723,,243700667,Asia,2022,2023,2022,2022
Panama,PAN,2022,79.590996,23557.02,,4400772,North America,2022,2023,2022,2022
Paraguay,PRY,2022,67.770546,8762.771,,6760461,South America,2022,2023,2022,2022
Peru,PER,2022,78.34876,12762.967,,33475435,South America,2022,2023,2022,2022
Philippines,PHL,2022,59.107143,8370.666,,113964342,Asia,2022,2023,2022,2022
Poland,POL,2022,67.232475,32468.402,,38385734,Europe,2022,2023,2022,2022
Portugal,PRT,2022,67.045494,28992.059,,10417075,Europe,2022,2023,2022,2022
Puerto Rico,PRI,2022,99.4786,35280.668,,3240971,North America,2022,2023,2022,2022
Qatar,QAT,2022,46.224567,149171.11,,2892465,Asia,2022,2023,2022,2022
Romania,ROU,2022,64.170494,26197.904,,19166776,Europe,2022,2023,2022,2022
Russia,RUS,2022,77.7925,25437.107,,145579890,Europe,2022,2023,2022,2022
Rwanda,RWA,2022,24.209827,2198.0662,,13651026,Africa,2022,2023,2022,2022
Saint Lucia,LCA,2022,31.715399,10452.165,,178794,North America,2022,2023,2022,2022
Sao Tome and Principe,STP,2022,70.0242,3751.6428,,226313,Africa,2022,2023,2022,2022
Saudi Arabia,SAU,2022,85.333565,53516.91,,32175352,Asia,2022,2023,2022,2022
Senegal,SEN,2022,49.96104,2660.6816,,17651099,Africa,2022,2023,2022,2022
Sierra Leone,SLE,2022,45.518158,1690.4982,,8276808,Africa,2022,2023,2022,2022
Singapore,SGP,2022,100,80320.086,,5649886,Asia,2022,2023,2022,2022
Slovakia,SVK,2022,61.831146,27519.287,,5473194,Europe,2022,2023,2022,2022
Slovenia,SVN,2022,56.78515,32673.762,,2115230,Europe,2022,2023,2022,2022
South Africa,ZAF,2022,68.02588,11415.887,,62378419,Africa,2022,2023,2022,2022
South Korea,KOR,2022,86.09601,41320.9,,51782514,Asia,2022,2023,2022,2022
Spain,ESP,2022,81.25485,34123.387,,47828386,Europe,2022,2023,2022,2022
Sri Lanka,LKA,2022,19.098562,10705.481,,22834964,Asia,2022,2023,2022,2022
Sweden,SWE,2022,87.42421,47126.13,,10487333,Europe,2022,2023,2022,2022
Switzerland,CHE,2022,76.046135,63323.254,,8792180,Europe,2022,2023,2022,2022
Syria,SYR,2022,62.55012,2494.7612,,22462170,Asia,2022,2023,2022,2022
Taiwan,TWN,2022,80.385735,53142.984,,23420107,Asia,2022,2023,2022,2022
Tajikistan,TJK,2022,33.21207,5507.5454,,10182229,Asia,2022,2023,2022,2022
Tanzania,TZA,2022,33.277195,3057.3286,,64711821,Africa,2022,2023,2022,2022
Thailand,THA,2022,41.008335,16421.072,,71735320,Asia,2022,2023,2022,2022
Togo,TGO,2022,51.42974,1586.5889,,9089742,Africa,2022,2023,2022,2022
Trinidad and Tobago,TTO,2022,18.860535,25773.006,,1495922,North America,2022,2023,2022,2022
Tunisia,TUN,2022,71.39383,10913.846,,12119336,Africa,2022,2023,2022,2022
Turkey,TUR,2022,73.08345,27361.988,,87058470,Asia,2022,2023,2022,2022
Turkmenistan,TKM,2022,56.738125,17234.555,,7230198,Asia,2022,2023,2022,2022
Uganda,UGA,2022,18.201967,2122.0278,,47312718,Africa,2022,2023,2022,2022
Ukraine,UKR,2022,72.95766,7749.0996,,41048767,Europe,2022,2023,2022,2022
United Arab Emirates,ARE,2022,86.99315,77203.67,,10242085,Asia,2022,2023,2022,2022
United Kingdom,GBR,2022,89.40352,38406.53,,68179315,Europe,2022,2023,2022,2022
United States,USA,2022,85.54355,58487.465,,341534041,North America,2022,2023,2022,2022
Uruguay,URY,2022,93.65732,20181.94,,3390913,South America,2022,2023,2022,2022
Uzbekistan,UZB,2022,43.37431,12559.401,,34938955,Asia,2022,2023,2022,2022
Venezuela,VEN,2022,95.835724,5267.1753,,28213016,South America,2022,2023,2022,2022
Vietnam,VNM,2022,37.756424,8050.359,,99680656,Asia,2022,2023,2022,2022
Yemen,YEM,2022,39.849583,1959.3195,,38222880,Asia,2022,2023,2022,2022
Zambia,ZMB,2022,42.994038,3342.4214,,20152934,Africa,2022,2023,2022,2022
Zimbabwe,ZWE,2022,45.37538,1703.5294,,16069061,Africa,2022,2023,2022,2022
