Location,ISO3,Time,Age Group,Value,Percentage
Singapore,SGP,1951,65+,24039,0.022507679
Singapore,SGP,1952,0-14,466144.5,0.413949779
Singapore,SGP,1952,15-64,635534,0.564372548
Singapore,SGP,1952,65+,24411,0.021677673
Singapore,SGP,1953,0-14,495312.5,0.417098238
Singapore,SGP,1953,15-64,667190.5,0.561835169
Singapore,SGP,1953,65+,25017,0.021066593
Singapore,SGP,1954,0-14,526318.5,0.420287859
Singapore,SGP,1954,15-64,700021.5,0.558997142
Singapore,SGP,1954,65+,25941,0.020714999
Singapore,SGP,1955,0-14,559350,0.423676017
Singapore,SGP,1955,15-64,733552,0.555624188
Singapore,SGP,1955,65+,27328.5,0.020699794
Singapore,SGP,1956,0-14,594387,0.427322801
Singapore,SGP,1956,15-64,767271,0.55161434
Singapore,SGP,1956,65+,29297.5,0.021062859
Singapore,SGP,1957,0-14,630179,0.432141214
Singapore,SGP,1957,15-64,796513,0.546203689
Singapore,SGP,1957,65+,31579,0.021655097
Singapore,SGP,1958,0-14,664096.5,0.438137277
Singapore,SGP,1958,15-64,817893.5,0.539604757
Singapore,SGP,1958,65+,33737,0.022257966
Singapore,SGP,1959,0-14,695363,0.443540887
Singapore,SGP,1959,15-64,836534.5,0.533587859
Singapore,SGP,1959,65+,35856.5,0.022871254
Singapore,SGP,1960,0-14,723914,0.447047453
Singapore,SGP,1960,15-64,857276.5,0.529404427
Singapore,SGP,1960,65+,38132,0.02354812
Singapore,SGP,1961,0-14,748807.5,0.448263982
Singapore,SGP,1961,15-64,881137,0.527481336
Singapore,SGP,1961,65+,40516.5,0.024254682
Singapore,SGP,1962,0-14,769454,0.447051448
Singapore,SGP,1962,15-64,908692.5,0.527948777
Singapore,SGP,1962,65+,43029,0.024999775
Singapore,SGP,1963,0-14,785738,0.44354076
Singapore,SGP,1963,15-64,940004,0.530622279
Singapore,SGP,1963,65+,45770.5,0.025836961
Singapore,SGP,1964,0-14,798401.5,0.438329192
Singapore,SGP,1964,15-64,974284.5,0.534890449
Singapore,SGP,1964,65+,48779.5,0.026780359
Singapore,SGP,1965,0-14,808370,0.432093371
Singapore,SGP,1965,15-64,1010476.5,0.540124197
Singapore,SGP,1965,65+,51976,0.027782433
Singapore,SGP,1966,0-14,815704.5,0.425047659
Singapore,SGP,1966,15-64,1048079.5,0.546133726
Singapore,SGP,1966,65+,55305.5,0.028818614
Singapore,SGP,1967,0-14,819859,0.41708692
Singapore,SGP,1967,15-64,1087030,0.55300484
Singapore,SGP,1967,65+,58790,0.02990824
Singapore,SGP,1968,0-14,820204,0.408043015
Singapore,SGP,1968,15-64,1127452.5,0.560895969
Singapore,SGP,1968,65+,62435.5,0.031061016
Singapore,SGP,1969,0-14,816337,0.397794516
Singapore,SGP,1969,15-64,1169576.5,0.56992531
Singapore,SGP,1969,65+,66244,0.032280173
Singapore,SGP,1970,0-14,808461,0.3865353
Singapore,SGP,1970,15-64,1212996,0.579948536
Singapore,SGP,1970,65+,70101,0.033516164
Singapore,SGP,1971,0-14,797438.5,0.374659902
Singapore,SGP,1971,15-64,1257110,0.590627001
Singapore,SGP,1971,65+,73884.5,0.034713096
Singapore,SGP,1972,0-14,784431,0.36243528
Singapore,SGP,1972,15-64,1302106,0.601619713
Singapore,SGP,1972,65+,77797,0.035945007
Singapore,SGP,1973,0-14,770104,0.350025476
Singapore,SGP,1973,15-64,1348028.5,0.612702073
Singapore,SGP,1973,65+,82004.5,0.037272452
Singapore,SGP,1974,0-14,754136,0.337409707
Singapore,SGP,1974,15-64,1394466,0.623901211
Singapore,SGP,1974,65+,86473,0.038689082
Singapore,SGP,1975,0-14,736420.5,0.324625538
Singapore,SGP,1975,15-64,1440881,0.635162615
Singapore,SGP,1975,65+,91221.5,0.040211847
Singapore,SGP,1976,0-14,717956,0.312053976
Singapore,SGP,1976,15-64,1486582,0.646131272
Singapore,SGP,1976,65+,96205,0.041814753
Singapore,SGP,1977,0-14,699129,0.299856533
Singapore,SGP,1977,15-64,1531152.5,0.656711537
Singapore,SGP,1977,65+,101263.5,0.04343193
Singapore,SGP,1978,0-14,679440.5,0.287825036
Singapore,SGP,1978,15-64,1575061,0.667228388
Singapore,SGP,1978,65+,106101,0.044946576
Singapore,SGP,1979,0-14,659449,0.276133018
Singapore,SGP,1979,15-64,1618193.5,0.677590921
Singapore,SGP,1979,65+,110514.5,0.046276061
Singapore,SGP,1980,0-14,643961.5,0.264190092
Singapore,SGP,1980,15-64,1678458,0.688600131
Singapore,SGP,1980,65+,115073.5,0.047209777
Singapore,SGP,1981,0-14,637845,0.251933208
Singapore,SGP,1981,15-64,1773484,0.700482897
Singapore,SGP,1981,65+,120473,0.047583895
Singapore,SGP,1982,0-14,636786,0.242361985
Singapore,SGP,1982,15-64,1864520,0.709639924
Singapore,SGP,1982,65+,126111,0.047998091
Singapore,SGP,1983,0-14,635327.5,0.236534578
Singapore,SGP,1983,15-64,1919404,0.714600603
Singapore,SGP,1983,65+,131250,0.048864819
Singapore,SGP,1984,0-14,633840.5,0.232950547
Singapore,SGP,1984,15-64,1950942.5,0.717014961
Singapore,SGP,1984,65+,136140,0.050034492
Singapore,SGP,1985,0-14,631795,0.231001165
Singapore,SGP,1985,15-64,1962364,0.717492809
Singapore,SGP,1985,65+,140870.5,0.051506026
Singapore,SGP,1986,0-14,627172,0.228506804
Singapore,SGP,1986,15-64,1971767,0.718402888
Singapore,SGP,1986,65+,145714.5,0.053090308
Singapore,SGP,1987,0-14,623230,0.224053293
Singapore,SGP,1987,15-64,2006959,0.721508548
Singapore,SGP,1987,65+,151426,0.054438159
Singapore,SGP,1988,0-14,626491.5,0.219895263
Singapore,SGP,1988,15-64,2064828.5,0.724744081
Singapore,SGP,1988,65+,157725,0.055360656
Singapore,SGP,1989,0-14,636626.5,0.216638734
Singapore,SGP,1989,15-64,2137890.5,0.727506461
Singapore,SGP,1989,65+,164138,0.055854804
Singapore,SGP,1990,0-14,650456.5,0.213994745
Singapore,SGP,1990,15-64,2218928,0.730008741
Singapore,SGP,1990,65+,170206.5,0.055996514
Singapore,SGP,1991,0-14,666089,0.212381122
Singapore,SGP,1991,15-64,2294167.5,0.731490637
Singapore,SGP,1991,65+,176034.5,0.056128242
Singapore,SGP,1992,0-14,681074,0.211089879
Singapore,SGP,1992,15-64,2362562,0.732244846
Singapore,SGP,1992,65+,182828.5,0.056665276
Singapore,SGP,1993,0-14,695244.5,0.209544042
Singapore,SGP,1993,15-64,2432152.5,0.733041491
Singapore,SGP,1993,65+,190495,0.057414467
Singapore,SGP,1994,0-14,708937,0.20742392
Singapore,SGP,1994,15-64,2510479,0.734527039
Singapore,SGP,1994,65+,198401,0.058049041
Singapore,SGP,1995,0-14,721235.5,0.204106435
Singapore,SGP,1995,15-64,2606112.5,0.737518234
Singapore,SGP,1995,65+,206276.5,0.058375331
Singapore,SGP,1996,0-14,732163.5,0.199795746
Singapore,SGP,1996,15-64,2718362,0.741797651
Singapore,SGP,1996,65+,214034.5,0.058406603
Singapore,SGP,1997,0-14,742079.5,0.195457805
Singapore,SGP,1997,15-64,2832375,0.746024921
Singapore,SGP,1997,65+,222168,0.058517274
Singapore,SGP,1998,0-14,750184.5,0.192285112
Singapore,SGP,1998,15-64,2919935.5,0.748429385
Singapore,SGP,1998,65+,231297.5,0.059285503
Singapore,SGP,1999,0-14,754696,0.190264756
Singapore,SGP,1999,15-64,2970243.5,0.748821585
Singapore,SGP,1999,65+,241617.5,0.060913659
Singapore,SGP,2000,0-14,758252.5,0.187907426
Singapore,SGP,2000,15-64,3024799.5,0.749595006
Singapore,SGP,2000,65+,252193,0.062497568
Singapore,SGP,2001,0-14,764128.5,0.185640837
Singapore,SGP,2001,15-64,3090547.5,0.750831599
Singapore,SGP,2001,65+,261490,0.063527564
Singapore,SGP,2002,0-14,764982.5,0.184471264
Singapore,SGP,2002,15-64,3114654,0.751081442
Singapore,SGP,2002,65+,267256,0.064447294
Singapore,SGP,2003,0-14,755199,0.182492578
Singapore,SGP,2003,15-64,3110520.5,0.751652089
Singapore,SGP,2003,65+,272525.5,0.065855332
Singapore,SGP,2004,0-14,743167,0.178099307
Singapore,SGP,2004,15-64,3145346.5,0.753779476
Singapore,SGP,2004,65+,284254,0.068121217
Singapore,SGP,2005,0-14,735702.5,0.172361726
Singapore,SGP,2005,15-64,3231985.5,0.757195468
Singapore,SGP,2005,65+,300675.5,0.070442806
Singapore,SGP,2006,0-14,730697,0.165801539
Singapore,SGP,2006,15-64,3359818.5,0.762372199
Singapore,SGP,2006,65+,316542.5,0.071826261
Singapore,SGP,2007,0-14,727020,0.158167655
Singapore,SGP,2007,15-64,3539241,0.769983564
Singapore,SGP,2007,65+,330254,0.071848781
Singapore,SGP,2008,0-14,725300,0.150892257
Singapore,SGP,2008,15-64,3736864,0.777421542
Singapore,SGP,2008,65+,344577,0.071686201
Singapore,SGP,2009,0-14,722984.5,0.145511659
Singapore,SGP,2009,15-64,3885536.5,0.782023491
Singapore,SGP,2009,65+,360046.5,0.07246485
Singapore,SGP,2010,0-14,717558.5,0.141334749
